prompt_id,prompt
0,The number 4
1,The number 8
2,A pound symbol (#)
3,A plus sign (+)
4,The letter T
5,The letter L
6,The letter H
7,The letters CH
8,The letters ETH
9,The letters IDEAL on a wooden plank
10,A minimalist cross
11,Four beams stacked on top of each other
12,A simple rectangle shape
13,Four straight beams arranged in a square
14,Six straight beams laid a hexagon shape
15,A single flat square panel
16,A row of five evenly spaced upright beams
17,A jenga tower four blocks tall
18,Two beams crossed in an X shape
19,Blocks laid out in a star shape
20,A simple stool with a square seat
21,A throne-like chair made of large blocks
22,A chair with a vertical slat backrest
23,A boxy armchair with wide flat armrests
24,A bench made of two flat planks
25,An Adirondack-style chair
26,A chair with a solid back and two flat armrests
27,A barstool with footrests
28,A backless bench seat with four legs
29,A dining chair with a straight square backrest
30,A workbench with a thick flat top
31,Rectangular dining table
32,Minimalist cube-shaped side table
33,Heavy table with four timber columns
34,Picnic table with straight A-frame legs
35,Square table with four thick straight legs
36,Writing desk with a flat top
37,An L-shaped table
38,A low rectangular coffee table
39,A table with cantilevered top overhanging one side
40,A wall-mounted floating corner shelf
41,A rectangular open box shelf
42,A zigzag shaped bookshelf
43,An open shelf with three shelves
44,A freestanding bookcase with three shelves
45,A tall narrow tower shelf with five levels
46,A cube storage unit with four equal compartments
47,A slatted shoe rack with three angled tiers
48,A ladder shelf with four tiers
49,A record storage unit with divider slots
50,A simple dock or pier extending outward on posts
51,A tall square watchtower with an open top
52,A flat bridge with two beam supports underneath
53,A church with a tall square bell tower
54,A windmill tower with four flat blade arms
55,A log cabin with stacked horizontal beams
56,A castle with four corner towers and connecting walls
57,A grain silo as a tall square column with a flat cap
58,A simple model of the Eiffel Tower
59,A pyramid made of stacked layers
60,A slatted wooden bath mat
61,A wooden wine rack with square cubbies
62,A wall-mounted spice rack with shelves
63,A children's step stool with a handle cutout
64,A napkin holder with two upright panels
65,A desktop letter organizer with three vertical slots
66,A flat trivet for pots and pans
67,A wall-mounted coat rack with five pegs
68,A paper towel holder with a vertical post and base
69,A tiered plant stand with three shelves
70,A wall-mounted tool rack
71,A simple sawhorse
72,A simple wooden mallet
73,A right angle clamping jig
74,A model of a wrench
75,A C-clamp
76,A lumber storage rack with horizontal arms
77,A tool tote with a center handle
78,A table saw push stick with intended end
79,A dustpan with a long handle and flat pan
80,A robot toy
81,A toy truck with wheels
82,A pixel-art style heart shape
83,A Minecraft-style blocky sword
84,A biplane with two stacked wings
85,A airplane with flat wings and a tail
86,A toy train engine with a smokestack and cab
87,A helicopter with flat rotor blades on top
88,A blocky toy dinosaur with a long tail
89,A toy rocket ship with flat fins at the base
90,A model of a guitar
91,A rectangular planter box with drainage gaps
92,A garden gate
93,A slatted porch swing seat
94,A slatted storage rack for firewood
95,A simple podium for three people
96,A staircase with five straight steps
97,A birdhouse with a sharp pitched roof
98,A robot arm with a claw hand
99,A model of the Swiss flag
